AHI #,Project ID,Project Name,Owner,Developer,Address,Zip Code ,Council District,Total Units,Total Affordable Units,Total PSH Units ,Unit Type,Tenure,Status,Affordability Start Year,Affordability Expiration Year ,Affordability Period,Fee in Lieu Status,Calculated Fee In Lieu,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Market Rate Units,RHDA ,OHDA,PA Bond ,CLT,DDB,ERC,MDA,MUD,MUDB,NBG,PUDDA,PUDDB,RNY,SMART,SMART-GF,TOD,UNO,VMU,VOL,2006 GO Bond ,2013 GO Bond,CDBG,HOME,HTF,CIP,UNO TF ,Total City Funding ,LIHTC ,Longitude,Latitude,Location
83,4495,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2017,2027,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4496,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2016,2026,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4497,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2016,2026,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4498,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2016,2026,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4499,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2016,2026,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4500,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2016,2026,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4501,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2017,2027,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4502,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2016,2026,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4503,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2016,2026,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4504,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2015,2025,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4505,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2015,2025,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4506,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2015,2025,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4509,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2015,2025,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4510,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2015,2025,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4511,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2016,2026,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
83,4512,Westgate Grove - Phase I,"Westgate Momark, LLC",HomeBase Texas,Undisclosed,"78,745",5,1,1,0,Single Family,Ownership,Project Completed,2016,2026,10,None,0,0,0,0,0,0,1,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"36,306.00",0,0,0,0,0,0,"36,306.00",N/A,-97.830305,30.192655,"(30.192655, -97.830305)"
